,artist_name,number_of_hits,spotify_followers,instagram_followers,monthly_listeners,youtube_suscribers,tiktok_followers,twitter_followers,total_followers
0,Justin Bieber ,19,67203271,264312466,67891041,70500000,26200000,113820708,663640235
1,Katy Perry,17,23322088,179001915,48082894,43600000,6700000,108866045,438021650
2,Maroon 5 ,16,38480318,8595840,49621851,36300000,2700000,14149689,148631306
3,Rihanna,15,50850088,138282394,67493665,40500000,5900000,107163343,443978646
4,Lady Gaga,15,23700563,53365114,46214005,22300000,8000000,84953332,257634862
5,Bruno Mars,14,44152666,26488030,50979698,35800000,7600000,43176751,222243216
6,Ariana Grande ,12,84614897,339415990,54639798,52000000,28000000,0,549786220
7,Ed Sheeran,12,104666144,41085510,76740255,52600000,13000000,17551442,271040110
8,Shawn Mendes ,12,39753575,70734735,42715011,29700000,8700000,26657644,192582173
9,Pitbull,11,0,9694906,29613555,15900000,2500000,24999835,113628126
10,Train,1,4152376,198000,14088466,896000,76800,374675,9677615
11,Sebastian Yatra,1,20277860,29975830,24540231,17700000,18200000,2262589,97018978
12,Tate McRae,1,3172822,2185313,24447045,4070000,4300000,116093,9935838
13,Joel Corry,1,308018,415249,17081765,409000,0,241598,1707556
14,SZA,1,8680107,12910837,34476730,2920000,2305,6726410,33083494
15,Duncan Laurence,1,439775,468847,9794871,814000,669300,31849,1912831
16,Internet Money,1,670164,276894,10597647,508000,0,144200,1581118
17,The Neighborhood ,1,10602623,2290737,32204642,4610000,0,1035936,22172598
18,Polo G,1,8567123,10578688,24012555,5400000,1700000,3347444,31904694
19,Myke Towers,1,9820245,9605699,25430264,9520000,91700,1152485,34037906
